"Common Name","Scientific Name","Number of Records"
"lesser swinecress","Coronopus didymus","8"
"Carolina fanwort, fanwort","Cabomba caroliniana","8"
"soft brome","Bromus hordeaceus ssp. hordeaceus","8"
"wheat leaf rust","Puccinia recondita","8"
"New Zealand mud snail","Potamopyrgus antipodarum","8"
"common four-o'clock","Mirabilis jalapa","8"
"red swamp crayfish","Procambarus clarkii","8"
"white mustard","Sinapis alba","8"
"mimosa webworm","Homadaula anisocentra","8"
"apple-mint","Mentha x villosa","8"
"squirreltail fescue","Vulpia bromoides","8"
"Himalayan blackberry","Rubus armeniacus","8"
"jetbead","Rhodotypos scandens","8"
"oystershell scale","Lepidosaphes ulmi","8"
"butterflybush","Buddleja davidii","8"
"Thunberg lespedeza","Lespedeza thunbergii","8"
"soft brome","Bromus hordeaceus","8"
"queen-of-the-meadow","Filipendula ulmaria","8"
"Japanese spiraea","Spiraea japonica","7"
"birch leafminer","Fenusa pusilla","7"
"Phytophthora root rot","Phytophthora cinnamomi","7"
"snowdrop","Galanthus nivalis","7"
"foxglove","Digitalis purpurea","7"
"fall dandelion","Scorzoneroides autumnalis","7"
"Amur maple","Acer ginnala","7"
"mile-a-minute vine, Asiatic tearthumb","Persicaria perfoliata","7"
"European bugleweed","Lycopus europaeus","7"
"gingermint","Mentha x gracilis","7"
"creeping waterprimrose","Ludwigia peploides","7"
"garden cosmos","Cosmos bipinnatus","7"
"twoleaf watermilfoil","Myriophyllum heterophyllum","7"
"narrowleaf hawkweed","Hieracium umbellatum","7"
"asparagus","Asparagus officinalis","7"
"wild chervil","Anthriscus sylvestris","7"
"common marshmallow","Althaea officinalis","7"
"maiden pink","Dianthus deltoides","6"
"hawkweed oxtongue","Picris hieracioides","6"
"beet armyworm","Spodoptera exigua","6"
"bamboo","Phyllostachys spp.","6"
"Job's tears","Coix lacryma-jobi","6"
"European water-clover","Marsilea quadrifolia","6"
"mulberryweed","Fatoua villosa","6"
"banded elm bark beetle","Scolytus schevyrewi","6"
"cat (feral)","Felis catus (feral type)","6"
"Brazilian waterweed, Brazilian elodea","Egeria densa","6"
"sparrow vetch","Vicia tetrasperma","6"
"fall cankerworm","Alsophila pometaria","6"
"woodland strawberry","Fragaria vesca ssp. vesca","6"
"European elm flea weevil","Orchestes alni","6"
"rattail fescue","Vulpia myuros","6"
"lesser hawkbit","Leontodon saxatilis ssp. saxatilis","5"
"garden balsam","Impatiens balsamina","5"
"woodland groundsel","Senecio sylvaticus","5"
"white mignonette","Reseda alba","5"
"laurel willow","Salix pentandra","5"
"goldenrain tree","Koelreuteria paniculata","5"
"wild-proso millet","Panicum miliaceum","5"
"weeping lovegrass","Eragrostis curvula","5"
"foxtail barley","Hordeum jubatum","5"
"plum","Prunus domestica","5"
"red sandspurry","Spergularia rubra","5"
"European centaury","Centaurium erythraea","5"
"germander speedwell","Veronica chamaedrys","5"
"shrubby lespedeza","Lespedeza bicolor","5"
"cereal rye","Secale cereale","5"
"heather","Calluna vulgaris","5"
"barley","Hordeum vulgare","5"
"maple petiole borer","Caulocampus acericaulis","5"
"blue mustard","Chorispora tenella","5"
"introduced pine sawfly","Diprion similis","5"
"common borage","Borago officinalis","5"
"big periwinkle","Vinca major","5"
"bristly hawkbit","Leontodon hispidus","5"
"American mannagrass","Glyceria grandis var. grandis","5"
"European elm bark beetle, smaller European elm bark beetle","Scolytus multistriatus","5"
"elm leafminer","Kaliofenusa ulmi","5"
"red fox","Vulpes vulpes fulvus","5"
"leafy spurge","Euphorbia esula","5"
"five-leaf aralia","Eleutherococcus sieboldianus","5"
"wild marjoram","Origanum vulgare","4"
"winter aconite","Eranthis hyemalis","4"
"Italian bugloss","Anchusa azurea","4"
"hammerhead worms","Bipalium spp.","4"
"wild celery","Apium graveolens","4"
"cherry silverberry","Elaeagnus multiflora","4"
"longleaf speedwell","Pseudolysimachion longifolium","4"
"giant reed","Arundo donax","4"
"opium poppy","Papaver somniferum","4"
